what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411720850534
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411721260903
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411721347588
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411721349970
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1411721354270
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411721355774
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411721358924
closed,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1411721359104
closed,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1411721360017
closed,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1411721363217
closed,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1411721364727
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411721391062
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411721391562
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1411721571476
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1411721618396
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1411721621396
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1411721624807
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411721626456
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1411723366658
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1411723368278
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1411723374080
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.lineEnd,1411723445746
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.text.contentAssist.proposals,1411723448218
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.lineEnd,1411723451728
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.select.lineStart,1411723495944
